,rf_probability
1492,0.545
1493,0.7066666666666666
1494,0.204591663040561
1495,0.21875
1496,0.7375
1497,0.40874999999999995
1498,0.7
1499,0.69
1500,0.25160714285714286
1501,0.0
1502,0.524940476190476
1503,0.045
1504,0.023
1505,0.555
1506,0.15105855633780818
1507,0.5387083333333333
1508,0.29
1509,0.0
1510,0.01
1511,0.0
1512,0.0
1513,0.5875
1514,0.535
1515,0.06946199633699633
1516,0.020357142857142855
1517,0.542435064935065
1518,0.555
1519,0.595
1520,0.46
1521,0.0
1522,0.396093614718615
1523,0.0
1524,0.0
1525,0.8678571428571429
1526,0.007256166128849202
1527,0.86
1528,0.24830952380952379
1529,0.19084889186321063
1530,0.385
1531,0.0
1532,0.0483234126984127
1533,0.0475
1534,0.01
1535,0.81
1536,0.525
1537,0.6325
1538,0.04838095238095237
1539,0.0375
1540,0.6166666666666667
1541,0.46251571091316507
1542,0.44289162226662226
1543,0.15
1544,0.25275645568175303
1545,0.315
1546,0.765
1547,0.4916507936507935
1548,0.485
1549,0.525
1550,0.2601246569459316
1551,0.12083333333333332
1552,0.01630952380952381
1553,0.21933333333333338
1554,0.0010273340723550867
1555,0.7001666666666666
1556,0.64
1557,0.49
1558,0.355
1559,0.5333333333333333
1560,0.395
1561,0.07
1562,0.0
1563,0.39875
1564,0.3599544413919415
1565,0.6943333333333334
1566,0.25616666666666665
1567,0.6875
1568,0.21170619658119658
1569,0.0
1570,0.36422619047619054
1571,0.21833333333333335
1572,0.6318928571428571
1573,0.8866666666666667
1574,0.084
1575,0.29
1576,0.32
1577,0.4
1578,0.49883333333333335
1579,0.3416666666666666
1580,0.385
1581,0.6603333333333333
1582,0.5808333333333333
1583,0.4399101731601731
1584,0.9537500000000001
1585,0.0
1586,0.24725000000000003
1587,0.973125
1588,0.8102678571428572
1589,0.455107142857143
1590,0.46125
1591,0.205
